description,amount,is_recurring,source,month,account_type,debit_credit
salary payable recorded reference 42293,186766.03,0,Excel,4,liability,credit
purchase of computer equipment reference 19119,4743.32,0,PDF,7,asset,credit
client payment for consulting services reference 28717,93801.4,0,Bank,7,revenue,credit
vehicle purchase for business reference 78953,175505.09,0,CSV,12,asset,debit
prepaid insurance reference 60521,103190.86,0,PDF,7,asset,debit
salary payable recorded reference 34082,289349.09,0,Bank,1,liability,credit
sales revenue from customer invoice reference 24568,47236.41,0,CSV,4,revenue,credit
security deposit paid reference 78720,160194.15,0,Excel,12,asset,debit
loan repayment liability reference 27152,46121.39,1,Manual,11,liability,credit
service revenue received reference 83430,34229.89,0,CSV,4,revenue,credit
maintenance and repair expense reference 65865,261928.1,0,PDF,2,expense,debit
short term borrowing reference 56270,72998.02,1,Bank,5,liability,credit
inventory purchase for stock reference 42415,239167.06,0,CSV,6,asset,debit
purchase of computer equipment reference 58942,35889.54,1,Excel,3,asset,credit
internet and telecom bill reference 83110,264213.36,0,CSV,9,expense,debit
salary payable recorded reference 38419,12354.0,1,Manual,9,liability,credit
subscription revenue reference 73395,75017.5,0,Bank,9,revenue,credit
owner capital introduced reference 72682,341818.71,0,Bank,12,equity,credit
accounts payable recorded reference 63402,301651.99,0,Bank,5,liability,credit
shareholder contribution reference 56769,210364.84,0,PDF,11,equity,credit
retained earnings transfer reference 28499,29592.45,0,PDF,8,equity,credit
monthly office rent reference 51679,118810.61,0,Excel,4,expense,debit
purchase of machinery reference 51297,336532.75,1,Excel,7,asset,debit
retained earnings transfer reference 65344,458297.31,1,CSV,2,equity,credit
vehicle purchase for business reference 58674,359140.41,1,CSV,7,asset,debit
additional equity contribution reference 65608,208650.49,0,PDF,12,equity,credit
client payment for consulting services reference 25703,13822.66,1,Excel,5,revenue,credit
owner capital introduced reference 57903,419317.88,0,Excel,2,equity,credit
salary payable recorded reference 26015,211354.43,0,CSV,10,liability,credit
capital introduced by shareholder reference 75951,218977.42,0,Excel,4,equity,credit
sales collection reference 34858,482277.18,0,Bank,6,revenue,credit
professional fees reference 81401,434670.99,0,Manual,2,expense,debit
purchase of machinery reference 31692,161070.19,0,PDF,4,asset,debit
purchase of office laptop reference 79270,19372.32,0,PDF,7,asset,debit
capital introduced by shareholder reference 60643,9492.4,0,PDF,5,equity,credit
maintenance and repair expense reference 81618,477178.33,0,Excel,7,expense,debit
office furniture purchase reference 91100,348635.36,0,PDF,7,asset,debit
service revenue received reference 86713,377258.62,0,PDF,7,revenue,debit
insurance expense reference 54095,431759.43,1,Bank,12,expense,debit
supplier payable created reference 46554,382246.72,1,PDF,9,liability,credit
prepaid insurance reference 79992,299175.39,0,Manual,11,asset,debit
subscription revenue reference 14041,217830.98,0,Bank,11,revenue,credit
share capital contribution reference 18850,462693.93,0,Excel,5,equity,credit
sales collection reference 89547,18799.15,0,Bank,11,revenue,debit
owner withdrawal against equity reference 45841,13423.89,1,PDF,3,equity,credit
consulting income received reference 26133,299891.7,0,Bank,3,revenue,credit
prepaid insurance reference 92672,444443.81,0,PDF,10,asset,debit
insurance expense reference 59230,421960.58,0,Manual,1,expense,debit
service revenue received reference 25990,140412.71,1,Manual,3,revenue,credit
monthly office rent reference 46427,27952.71,0,PDF,1,expense,debit
insurance expense reference 39299,5241.0,0,Manual,7,expense,debit
owner capital introduced reference 91150,414027.45,0,PDF,10,equity,credit
purchase of machinery reference 75416,16011.84,0,CSV,10,asset,debit
owner withdrawal against equity reference 70566,272614.26,0,Bank,8,equity,credit
insurance expense reference 20638,125277.74,0,Bank,5,expense,debit
salary payable recorded reference 97021,126294.53,1,PDF,12,liability,credit
insurance expense reference 77638,468914.48,1,Excel,2,expense,debit
owner investment into business reference 98168,165448.07,0,Excel,3,equity,credit
courier and postage expense reference 21239,435546.56,0,CSV,6,expense,debit
monthly office rent reference 23469,307069.77,0,Bank,10,expense,debit
service revenue received reference 72346,297364.26,1,CSV,10,revenue,credit
accounts payable recorded reference 24744,175145.95,0,Excel,8,liability,debit
business loan received reference 96503,462630.46,0,PDF,6,liability,credit
consulting income received reference 28814,262781.61,1,PDF,2,revenue,credit
service revenue received reference 66228,222063.12,0,Excel,12,revenue,debit
share capital contribution reference 98472,28075.16,0,CSV,12,equity,credit
business travel expense reference 65960,331220.21,0,Manual,5,expense,debit
