Transaction_ID,Date,Scope,Category,Description,Amount,Income_vs_Expense,Profit_vs_Loss,Balance_Sheet_Category,Debit_vs_Credit,Payment_Method
TXN-10240,2025-01-01,Business,Owner's Drawings / Distributions,Owner cash withdrawal for personal use,5603.62,Equity Withdrawal,Neutral,Equity,Debit,Wire Transfer
TXN-10819,2025-01-01,Household,Utilities,"Electricity, water, and gas bills",126.95,Expense,Loss,Liability,Debit,Checking Account
TXN-10451,2025-01-01,Business,Office Rent & Lease,Commercial property rental fee,4266.64,Expense,Loss,Liability,Debit,Credit Card
TXN-10952,2025-01-01,Household,Utilities,"Electricity, water, and gas bills",90.59,Expense,Loss,Liability,Debit,ACH Transfer
TXN-10123,2025-01-01,Business,Bank Loan Principal Payment,Repayment of principal on commercial loan,1411.62,Transfer,Neutral,Liability,Debit,Credit Card
TXN-10092,2025-01-02,Household,Groceries,Supermarket purchase (food/supplies),110.05,Expense,Loss,Asset,Debit,Credit Card
TXN-10803,2025-01-02,Business,Loan Interest Expense,Interest charge on business debt/credit lines,658.24,Expense,Loss,Liability,Debit,Digital Wallet
TXN-11127,2025-01-02,Household,Healthcare / Medical,Pharmacy prescription / Doctor copay,132.65,Expense,Loss,Asset,Debit,Digital Wallet
TXN-10865,2025-01-02,Business,Owner's Drawings / Distributions,Owner cash withdrawal for personal use,1308.27,Equity Withdrawal,Neutral,Equity,Debit,Checking Account
TXN-10709,2025-01-03,Household,Rent / Mortgage,Monthly residential lease/mortgage payment,2697.33,Expense,Loss,Liability,Debit,ACH Transfer
TXN-10578,2025-01-03,Household,Dining Out,Restaurant bill / food delivery,116.27,Expense,Loss,Asset,Debit,Credit Card
TXN-10050,2025-01-04,Household,Healthcare / Medical,Pharmacy prescription / Doctor copay,43.43,Expense,Loss,Asset,Debit,Digital Wallet
TXN-10672,2025-01-04,Household,Groceries,Supermarket purchase (food/supplies),126.6,Expense,Loss,Asset,Debit,Digital Wallet
TXN-11191,2025-01-04,Business,Bank Loan Principal Payment,Repayment of principal on commercial loan,2380.8,Transfer,Neutral,Liability,Debit,Credit Card
TXN-10007,2025-01-04,Household,Vehicle Maintenance,"Gasoline, car insurance, or repairs",463.73,Expense,Loss,Asset,Debit,Credit Card
TXN-10085,2025-01-05,Business,Owner's Drawings / Distributions,Owner cash withdrawal for personal use,5675.04,Equity Withdrawal,Neutral,Equity,Debit,Wire Transfer
TXN-10821,2025-01-05,Business,Software / SaaS Subscriptions,"Cloud infrastructure, accounting & CRM tools",35.22,Expense,Loss,Asset,Debit,Cash
TXN-11093,2025-01-05,Household,Groceries,Supermarket purchase (food/supplies),218.92,Expense,Loss,Asset,Debit,Digital Wallet
TXN-10743,2025-01-06,Household,Utilities,"Electricity, water, and gas bills",101.69,Expense,Loss,Liability,Debit,Credit Card
TXN-10205,2025-01-07,Household,Utilities,"Electricity, water, and gas bills",206.29,Expense,Loss,Liability,Debit,ACH Transfer
TXN-11106,2025-01-07,Business,Accounts Receivable Invoicing,Client invoice generated for B2B services rendered,8750.25,Income,Profit,Asset,Credit,Digital Wallet
TXN-10990,2025-01-07,Business,Software / SaaS Subscriptions,"Cloud infrastructure, accounting & CRM tools",635.43,Expense,Loss,Asset,Debit,Wire Transfer
TXN-10654,2025-01-08,Business,Product Sales Revenue,Direct cash/card sales to customers,1071.36,Income,Profit,Asset,Credit,Credit Card
TXN-10063,2025-01-08,Business,Bank Loan Principal Payment,Repayment of principal on commercial loan,3406.99,Transfer,Neutral,Liability,Debit,Credit Card
TXN-11059,2025-01-08,Business,Cost of Goods Sold (COGS),Raw materials and inventory purchases,4481.63,Expense,Loss,Asset,Debit,Wire Transfer
TXN-10247,2025-01-08,Business,Bank Loan Principal Payment,Repayment of principal on commercial loan,2156.75,Transfer,Neutral,Liability,Debit,Checking Account
TXN-10457,2025-01-09,Household,Vehicle Maintenance,"Gasoline, car insurance, or repairs",236.76,Expense,Loss,Asset,Debit,Checking Account
TXN-10550,2025-01-09,Business,Owner's Equity Injection,Capital contributed by business owner/investor,21576.1,Equity Injection,Neutral,Equity,Credit,Digital Wallet
TXN-10663,2025-01-09,Household,Dining Out,Restaurant bill / food delivery,42.38,Expense,Loss,Asset,Debit,Wire Transfer
TXN-11060,2025-01-10,Household,Credit Card Payment,Credit card balance payoff from checking account,1079.77,Transfer,Neutral,Liability,Debit,Digital Wallet
TXN-10377,2025-01-10,Business,Office Rent & Lease,Commercial property rental fee,3568.89,Expense,Loss,Liability,Debit,Checking Account
TXN-10162,2025-01-10,Business,Owner's Equity Injection,Capital contributed by business owner/investor,38706.09,Equity Injection,Neutral,Equity,Credit,Checking Account
TXN-11000,2025-01-11,Business,Cost of Goods Sold (COGS),Raw materials and inventory purchases,1821.76,Expense,Loss,Asset,Debit,Cash
TXN-10231,2025-01-11,Business,Loan Interest Expense,Interest charge on business debt/credit lines,749.7,Expense,Loss,Liability,Debit,Digital Wallet
TXN-10957,2025-01-11,Business,Product Sales Revenue,Direct cash/card sales to customers,1536.42,Income,Profit,Asset,Credit,Checking Account
TXN-10932,2025-01-11,Household,Healthcare / Medical,Pharmacy prescription / Doctor copay,193.73,Expense,Loss,Asset,Debit,Checking Account
TXN-10319,2025-01-11,Business,Equipment Asset Purchase,"Purchase of machinery, computers, or office hardware",1138.88,Asset Acquisition,Neutral,Asset,Debit,Cash
TXN-10455,2025-01-11,Business,Bank Loan Principal Payment,Repayment of principal on commercial loan,1671.36,Transfer,Neutral,Liability,Debit,ACH Transfer
TXN-10753,2025-01-12,Household,Utilities,"Electricity, water, and gas bills",266.82,Expense,Loss,Liability,Debit,Digital Wallet
TXN-11069,2025-01-12,Household,Credit Card Payment,Credit card balance payoff from checking account,966.6,Transfer,Neutral,Liability,Debit,Credit Card
TXN-10626,2025-01-12,Household,Salary / Wages,Monthly salary direct deposit,5924.72,Income,Profit,Asset,Credit,ACH Transfer
TXN-10935,2025-01-12,Household,Groceries,Supermarket purchase (food/supplies),71.02,Expense,Loss,Asset,Debit,Digital Wallet
TXN-10107,2025-01-13,Household,Healthcare / Medical,Pharmacy prescription / Doctor copay,237.81,Expense,Loss,Asset,Debit,ACH Transfer
TXN-10001,2025-01-13,Household,Utilities,"Electricity, water, and gas bills",243.14,Expense,Loss,Liability,Debit,Credit Card
TXN-11195,2025-01-13,Household,Dining Out,Restaurant bill / food delivery,63.22,Expense,Loss,Asset,Debit,Cash
TXN-11187,2025-01-13,Business,Product Sales Revenue,Direct cash/card sales to customers,4114.31,Income,Profit,Asset,Credit,Cash
TXN-10920,2025-01-14,Household,Investment Returns,Stock dividend or savings interest payout,166.25,Income,Profit,Asset,Credit,Credit Card
TXN-10005,2025-01-14,Business,Equipment Asset Purchase,"Purchase of machinery, computers, or office hardware",4560.34,Asset Acquisition,Neutral,Asset,Debit,Digital Wallet
TXN-10170,2025-01-14,Business,Loan Interest Expense,Interest charge on business debt/credit lines,700.22,Expense,Loss,Liability,Debit,Wire Transfer
